Estación;Estado;Código ROEA;Situación
ALFILORIOS;Alta;1345;Embalse
ALLES;Alta;1276;Río
ALSA - MEDIAJO;Alta;1231;Embalse
ALZOLA;Baja;1103;Río
ANDOÁIN;Alta;1080;Río
AÑARBE;Alta;1108;Embalse
ARBÓN;Alta;1409;Embalse
ARENAS DE CABRALES;Alta;1274;Embalse
ARRIARÁN;Alta;1079;Embalse
ARTICUZA;Baja;1122;Río
BERRIATÚA;Baja;1141;Río
BULLÓN EN OJEDO;Alta;1264;Río
CABEZÓN DE LA SAL;Baja;1917;Río
CALDAS DE BESAYA;Baja;1937;Río
CAMARMEÑA;Alta;1273;Embalse
CAMARMEÑA;Baja;1273;Río
CANGAS DE ONÍS;Alta;1295;Río
CORIAS;Alta;1353;Río
COTERILLO;Alta;1196;Río
DEVA EN OJEDO;Alta;1265;Río
DOIRAS;Alta;1408;Embalse
ECHABE;Baja;1109;Río
ECHÉVARRI;Baja;1158;Río
E. DOIRAS;Baja;1408;Río
EL CONDADO;Alta;1335;Río
EL MOLINÍN;Baja;1284;Río
ENDARA - SAN ANTÓN;Alta;1847;Embalse
ENDARLAZA;Alta;1106;Río
EREÑOZU;Alta;1105;Río
E. SALIME;Baja;1406;Río
FORNO;Baja;1040;Río
GRADO;Baja;1346;Río
GRADO;Alta;1378;Río
GURIEZO;Alta;1186;Río
IBIAS;Baja;1404;Conduccion
IBIUR;Alta;1078;Embalse
LA BARCA;Alta;1356;Embalse
LA CAVADA;Baja;1207;Río
LA COHILLA;Alta;1253;Embalse
LA FLORIDA;Alta;1355;Embalse
LA JOCICA;Alta;1290;Embalse
LA MIRANDA;Baja;1403;Conduccion
LA PONTENOVA;Alta;1426;Río
LAREO;Alta;1077;Embalse
LEMONA;Alta;1163;Río
LEMONA;Alta;1164;Río
LOS CORRALES DEL BUELNA;Alta;1244;Embalse
LUARCA;Alta;1398;Río
MIRANDA;Alta;1360;Embalse
MOREDA;Baja;1365;Río
ORDUNTE;Alta;1177;Embalse
OYARZUN;Baja;1107;Río
OZANES;Alta;1302;Río
PALOMBERA;Alta;1254;Embalse
PARTEAYER;Baja;1369;Río
PEÑAMELLERA;Baja;1916;Río
PLUVIÓGRAFO (CACES);Baja;1912;Río
PONCEBOS;Alta;1274;Río
PONTENOVO;Baja;1425;Río
PRIAÑES;Alta;1340;Embalse
PROAZA (VALDEMURRIO);Alta;1346;Embalse
PTE. SAN MAR;Alta;1358;Río
PUENTE DE FORCINAS;Baja;1054;Río
PUENTE DE LA FLORIDA;Baja;1050;Río
PUENTE DELLAS SEGADAS;Baja;1034;Río
PUENTE DE SAMA;Baja;1033;Río
PUENTE DE SAN ROMÁN;Baja;1047;Río
PUENTE DE SOVILLA;Baja;1036;Río
PUENTELLES;Alta;1268;Río
PUENTE VIESGO;Alta;1215;Río
RALES;Alta;1285;Río
REQUEJO;Alta;1359;Río
RIBEIRA DE PIQUÍN;Alta;1424;Río
RÍO AGUANAZ EN ENTRAMBASAGUAS;Alta;1205;Río
RIO BESAYA EN ARENAS DE IGUÑA;Alta;1244;Río
RÍO BIDASOA EN LEGASA;Alta;1100;Río
RIO CADAGUA EN ALONSOTEGI;Alta;1178;Río
RÍO CAMPIAZO EN BERANGA;Alta;1204;Río
RÍO CAUDAL EN ARGAME;Alta;1367;Río
RÍO DEVA EN PANES;Alta;1269;Río
RÍO ESCUDO EN ROIZ (LAS CUEVAS);Alta;1262;Río
RÍO GÜEÑA EN CANGAS DE ONIS;Alta;1294;Río
RÍO LINARES EN VILLAVICIOSA;Alta;1305;Río
RIO MIERA EN PUENTE AGÜERO;Alta;1206;Río
RIO NALON EN GRULLOS;Alta;1368;Río
RÍO NALON EN PALOMAR;Baja;1371;Río
RÍO NALÓN EN SAMA;Alta;1339;Río
RIO NARCEA EN QUINZANAS;Alta;1360;Río
RÍO NORA EN POLA DE SIERO;Alta;1342;Río
RÍO NOREÑA EN LA FRESNEDA;Alta;1344;Río
RIO PAS EN CARANDIA;Alta;1216;Río
RÍO PISUEÑA EN LA PENILLA;Alta;1217;Río
RÍO SAJA EN EL AZUD DEL PUENTE SAN MIGUEL;Alta;1242;Río
RIOSECO;Alta;1334;Embalse
RIO SELLA EN ARRIONDAS;Alta;1292;Río
RIO SELLA EN PERVIS;Alta;1293;Río
RÍO SELLA EN RIBOTA;Alta;1297;Río
RÍO SUARON EN MAZO DE MEREDO;Alta;1429;Río
SALIME;Alta;1406;Embalse
SAN ANTOLÍN;Alta;1404;Río
SAN CUCAO;Alta;1343;Río
SAN PEDRO DE NORA;Baja;1043;Río
SAN TIRSO DE ABRES;Alta;1427;Río
SOBREFOZ;Alta;1296;Río
SODUPE;Baja;1175;Río
SOMIEDO;Baja;1350;Embalse
SOVILLA - VÍA NORTE;Baja;1038;Río
SUEIRO;Alta;1414;Río
TANES;Alta;1333;Embalse
TORRELAVEGA;Alta;1237;Río
TREVIAS;Alta;1395;Río
TRUBIA;Baja;1041;Río
TRUBIA;Baja;1042;Río
TRUBIA EN TRUBIA (MACHÓN);Alta;1375;Río
UNDURRAGA;Alta;1162;Embalse
URDÓN;Alta;1266;Embalse
URDÓN;Baja;1266;Río
VALDEMURRIO;Alta;1351;Embalse
VALLO;Alta;1402;Río
VEGA DEL REY;Alta;1363;Río
VILLAMAYOR;Alta;1303;Río
ZOLLO;Baja;1131;Embalse
