Estación;Estado;Código ROEA;Situación
ABIA DE LAS TORRES;Alta;2026;Río
ÁGUEDA;Alta;2039;Embalse
Aguilafuente;Alta;2517;Río
Aguilar de Campoo;Alta;2005;Evaporimetrica
AGUILAR DE CAMPOO;Alta;2016;Embalse
ALAR DEL REY;Alta;2024;Río
ALBA DE TORMES;Baja;2086;Río
ALCONADA;Alta;2712;Río
ALDEADÁVILA;Alta;2005;Embalse
ALMAZÁN;Alta;2163;Río
ALMENDRA;Alta;2041;Embalse
ALMUZARA;Baja;2969;Río
AMBASAGUAS;Alta;2147;Río
ARANDA DE DUERO;Alta;2013;Río
ARDÓN;Baja;2072;Río
Arévalo;Alta;2158;Río
ARLANZÓN;Alta;2011;Embalse
ÁVILA;Alta;2046;Río
BARBADILLO DEL PEZ;Alta;2123;Río
Barrios de Luna;Alta;2001;Evaporimetrica
BARRIOS DE LUNA;Alta;2026;Embalse
BENAMARIEL;Baja;2071;Río
BENAMARIEL - 2;Alta;2711;Río
BENARDOS;Alta;2053;Río
Benegiles;Alta;2548;Río
BESANDE;Alta;2034;Río
Boca de Huérgano;Alta;2550;Río
Boisán;Alta;2519;Río
Bretó;Alta;2530;Río
BRETÓ;Baja;2095;Río
BRIME DE URZ;Alta;2719;Río
BURGOMILLODO;Alta;2037;Embalse
BURGOS-ARLANZÓN;Alta;2139;Río
Burgos-Vena;Alta;2549;Río
CABAÑES DE ESGUEVA;Alta;2049;Río
CABEZÓN DE PISUERGA;Alta;2043;Río
CALDAS DE NOCEDO;Alta;2068;Río
CAMARZANA-REGATO;Alta;2716;Río
Camporredondo;Alta;2012;Evaporimetrica
CAMPORREDONDO;Alta;2014;Embalse
CAMPOSOLILLO;Alta;2078;Río
CANAL DEL DUERO;Alta;2432;Conduccion
Cardaño de Arriba;Alta;2511;Río
CARRASCAL;Baja;2066;Río
CASARES DE ARBAS;Alta;2125;Embalse
Cascantes;Alta;2510;Río
CASTILLEJO MARTÍN VIEJO;Baja;2091;Río
CASTRILLEJO DE LA OLMA;Baja;2039;Río
CASTRO;Alta;2003;Embalse
CASTROBOL;Baja;2143;Río
CASTRO DE LA LOMBA;Alta;2138;Río
Castro de las Cogotas;Alta;2016;Evaporimetrica
CASTRO DE LAS COGOTAS;Alta;2042;Embalse
CASTROPEPE;Alta;2074;Río
CASTROVERDE DE CERRATO;Baja;2033;Río
CEBRONES DEL RÍO;Alta;2060;Río
CELADA DEL CAMINO;Alta;2116;Río
CELADILLA DEL RÍO;Alta;2023;Río
CERNADILLA;Alta;2031;Embalse
CERNADILLA ( EMBALSE );Baja;2144;Río
CERVERA DE PISUERGA;Baja;2021;Río
Cervera de Ruesga;Alta;2010;Evaporimetrica
CISTIERNA;Alta;2103;Río
CIUDAD RODRIGO;Alta;2137;Río
Coca-Eresma;Alta;2527;Río
COCA-VOLTOYA;Alta;2114;Río
Compuerto;Alta;2008;Evaporimetrica
COMPUERTO;Alta;2015;Embalse
CONTIENSA;Baja;2088;Río
CORDOVILLA;Alta;2029;Río
COVARRUBIAS;Alta;2030;Río
CRÉMENES;Alta;2151;Río
Cuerda del Pozo;Alta;2003;Evaporimetrica
CUERDA DEL POZO;Alta;2001;Embalse
DUEÑAS;Baja;2027;Río
EL BARCO DE ÁVILA;Alta;2085;Río
EL ESPINAR;Alta;2051;Río
Emb. Casares;Alta;2514;Río
Emb. Cogotas;Alta;2500;Río
Emb. Linares;Alta;2552;Río
EMISARIO DE LA NAVA;Alta;2135;Río
ENCINAS DE ARRIBA;Baja;2084;Río
FRESNO-ALHÁNDIGA;Baja;2149;Río
FUENTEGUINALDO;Baja;2090;Río
GARRAY-SORIA;Alta;2002;Río
GENESTACIO;Alta;2718;Río
Getino;Alta;2542;Río
GORMAZ;Alta;2004;Río
GUARDO;Alta;2134;Río
GUIJAS ALBAS;Alta;2052;Río
HERRERA DE DUERO;Alta;2015;Río
HERRERA DE PISUERGA;Alta;2133;Río
HOYOS DEL ESPINO;Alta;2006;Río
IRUEÑA;Alta;2047;Embalse
LA FUENTONA;Alta;2153;Río
LA GARANDILLA;Baja;2083;Río
LA MAGDALENA;Alta;2075;Río
LA MUEDRA;Baja;2900;Río
Languilla;Alta;2538;Río
La Requejada;Alta;2011;Evaporimetrica
LA REQUEJADA;Alta;2013;Embalse
LA ROBLA;Baja;2070;Río
LA ROBLA ( C. TÉRMICA);Baja;2152;Río
Las Omañas;Alta;2076;Río
LAS OMAÑAS;Baja;2146;Río
LASTRAS DE CUÉLLAR;Baja;2714;Río
LAS VENCÍAS;Alta;2040;Embalse
Ledesma;Alta;2546;Río
LEÓN;Alta;2115;Río
LEÓN;Baja;2118;Río
LEÓN ( ALIJA DE LA RIBERA);Baja;2119;Río
Lerma;Alta;2507;Río
Liegos;Alta;2529;Río
Linares del Arroyo;Alta;2007;Evaporimetrica
LINARES DEL ARROYO;Alta;2010;Río
LINARES DEL ARROYO;Alta;2036;Embalse
MANGANESES DE LA POLVOROSA;Alta;2145;Río
MEDIANA DE VOLTOYA;Alta;2047;Río
MEDINA DE RIOSECO;Alta;2124;Río
Megeces;Alta;2518;Río
MOLINOS DE DUERO;Alta;2101;Río
MORALES DEL REY;Alta;2082;Río
MORLA DE LA VALDERIA;Alta;2089;Río
MOZAR DE VALVERDE;Alta;2099;Río
MUELAS;Baja;2903;Río
NAVAPALOS;Alta;2017;Río
NUESTRA SEÑORA DEL AGAVANZAL;Alta;2034;Embalse
OLMEDO;Baja;2048;Río
OSMA;Alta;2005;Río
OTERO DE GUARDO;Alta;2035;Río
PAJARES DE PEDRAZA;Alta;2016;Río
PALENCIA;Alta;2042;Río
PARDAVÉ;Alta;2150;Río
PEDROSA DEL PRÍNCIPE;Alta;2018;Río
PEÑAFIEL;Baja;2014;Río
PEÑAFIEL;Baja;2130;Río
PERAL DE ARLANZA;Alta;2031;Río
Pineda de la Sierra;Alta;2508;Río
PINILLA DE LOS MOROS;Alta;2141;Río
PISCARDANOS;Baja;2008;Río
PONTEDO;Baja;2065;Río
PONTÓN ALTO;Alta;2043;Embalse
Porma;Alta;2004;Evaporimetrica
PORMA / JUAN BENET;Alta;2030;Embalse
PUEBLA DE SANABRIA;Alta;2080;Río
