Estación;Estado;Código ROEA;Situación
ACEQUIA ENATE;Alta;9466;Conduccion
AGUARÓN;Alta;9296;Río
AGUAS LIMPIAS ( SISTEMA );Baja;9833;Embalse
AGUILAR;Baja;9140;Río
ALAGÓN;Alta;9286;Río
ALASTUEY;Alta;9275;Río
ALASTUEY;Alta;9276;Río
ALBALATILLO;Alta;9094;Río
ALBIÑA;Alta;9826;Embalse
ALCAINE;Alta;9127;Río
ALCAÑIZ;Alta;9015;Río
ALINS;Alta;9135;Río
ALINS;Alta;9198;Río
ALLO;Baja;9239;Río
ALLOZ;Alta;9084;Río
ALLOZ;Alta;9830;Embalse
ALMOCHUEL;Baja;9816;Embalse
ALÓS DE BALAGUER;Baja;9104;Río
ALTO CALDARÉS ( SISTEMA );Baja;9834;Embalse
ANDA;Baja;9072;Río
ANDOSILLA;Alta;9003;Río
ANGUIANO;Alta;9048;Río
ANZÁNIGO;Alta;9123;Río
AOIZ PIE DE PRESA;Alta;9277;Río
AOS;Alta;9264;Río
ARAGÓN Y CATALUÑA ( ENLACE );Alta;9444;Conduccion
ARAGÓN Y CATALUÑA ( PR. );Alta;9414;Conduccion
ARAGÜÉS DEL PUERTO;Alta;9269;Río
ARCE;Alta;9074;Río
ARDISA;Alta;9012;Río
ARDISA;Alta;9837;Embalse
ARDISA - SOTONERA;Alta;9410;Conduccion
ARGUIS;Alta;9844;Embalse
ARIVE;Alta;9066;Río
ARNEDILLO;Alta;9253;Río
ARROYO;Alta;9026;Río
ARTÍES;Alta;9143;Río
ARTÍES;Alta;9200;Río
ARTÍES BAJO;Baja;9199;Río
ASCÓ COCA;Alta;9163;Río
ASIAIN;Alta;9068;Río
ASPURZ;Alta;9064;Río
ATECA;Alta;9126;Río
ATECA;Alta;9184;Río
AZAGRA;Alta;9473;Conduccion
AZANUY;Alta;9300;Río
AZARRULLA;Alta;9157;Río
BALAGUER;Alta;9096;Río
BALAGUER;Baja;9182;Río
BALAGUER ( CENTRAL HIDR. );Baja;9416;Conduccion
BALAGUER - LÉRIDA;Baja;9417;Conduccion
BALAGUER - TÉRMENS;Baja;9418;Conduccion
BALLOBAR;Alta;9193;Río
BARÁSOAIN;Alta;9086;Río
BARASONA;Baja;9128;Río
BARASONA - JOAQUÍN COSTA;Alta;9848;Embalse
BARBASTRO;Alta;9095;Río
BARBUÉS;Alta;9191;Río
BÁRDENAS EN EMB. DE SA;Alta;9407;Conduccion
BARRIO BLANCO;Alta;9167;Río
BASERCA;Alta;9865;Embalse
BASONA;Baja;9443;Conduccion
BATEA;Alta;9177;Río
BAYUNGA;Alta;9469;Conduccion
BECEITE;Alta;9052;Río
BECEITE;Alta;9110;Río
BECEITE;Alta;9297;Río
BELOTEGUI ( CENTRAL );Alta;9457;Conduccion
BERANTEVILLA;Alta;9075;Río
BERGE;Alta;9100;Río
BERGUENDA;Alta;9188;Río
BIEL;Alta;9304;Río
BIESCAS ( CENTRAL );Alta;9455;Conduccion
BIJUESCA;Alta;9287;Río
BINIÉS;Alta;9062;Río
BIOTA;Alta;9155;Río
BLESA;Alta;9122;Río
BLESA ( ALIMENTADOR );Alta;9440;Conduccion
BOHÍ;Baja;9117;Río
BOLTAÑA;Alta;9040;Río
BORÉN - ESTERRI;Baja;9856;Embalse
BOSSOST;Alta;9019;Río
BÚBAL;Alta;9250;Río
BÚBAL;Alta;9835;Embalse
BURLADA;Alta;9313;Río
CALAHORRA;Baja;9213;Río
CALAMOCHA;Alta;9042;Río
CALANDA;Baja;9233;Río
CALANDA;Alta;9822;Embalse
CALATAYUD;Alta;9266;Río
CALDAS DE BOHÍ;Baja;9116;Río
CAMARASA;Baja;9103;Río
CAMARASA;Baja;9169;Río
CAMARASA;Alta;9860;Embalse
CAMARERA ( PARTIDOR );Baja;9448;Conduccion
CAMARERA - PEÑAFLOR;Baja;9454;Conduccion
CAMARERA ( TOMA );Baja;9449;Conduccion
CAMPO;Alta;9258;Río
CANALROYA ( CENTRAL );Baja;9433;Conduccion
CANDASNOS;Alta;9231;Río
CANELLES;Baja;9133;Río
CANELLES;Alta;9851;Embalse
CANFRANCA;Baja;9164;Río
CANFRANC ANTIGUO;Alta;9271;Río
CAPARROSO;Alta;9005;Río
CAPDELLA;Baja;9248;Río
CAPDELLA;Baja;9249;Río
CAPDELLA;Alta;9267;Río
CAPDELLA ( SISTEMA );Baja;9854;Embalse
CAPELLA;Alta;9047;Río
CARABANTES;Alta;9288;Río
CARCAVILLA ( CENTRAL );Baja;9428;Conduccion
CARENAS;Alta;9125;Río
CASPE;Alta;9099;Río
CASPE II;Alta;9823;Embalse
CASTEJÓN;Alta;9002;Río
CASTEJÓN DEL PUENTE;Baja;9045;Río
CAVALLERS;Alta;9863;Embalse
CERECEDA;Alta;9930;Embalse
CERNEJA-ORDUNTE;Baja;9462;Conduccion
CERTESCANS;Alta;9869;Embalse
CERVERA DEL RÍO ALHAMA;Alta;9251;Río
CERVERUELA;Alta;9215;Río
CETINA;Baja;9007;Río
CETINA AA. AB. DEZA;Alta;9307;Río
CHERTA;Baja;9212;Río
CHERTA MARGEN DCHA.;Alta;9404;Conduccion
