Estación;Estado;Código ROEA;Situación
A FIGUEIRA;Alta;1568;Río
A MACIÑEIRA;Alta;1449;Río
ANLLÓNS;Alta;1485;Río
A PONTE;Alta;1594;Río
A PONTE DA RIBEIRA;Alta;1472;Río
A PONTE DE BEDOÑA;Alta;1470;Río
A PONTE DE CONSTANTE;Alta;1506;Río
A PONTE DE LESTA;Alta;1525;Río
A PONTE DE TRUEBE;Alta;1512;Río
A PONTE NOVA;Alta;1544;Río
A PONTE OLVEIRA;Alta;1514;Río
AS ANZAS;Alta;1430;Río
AS CASASNOVAS;Alta;1497;Río
A TELVA;Alta;1473;Río
BARLLOBRE;Alta;1469;Río
BASEBE;Alta;1550;Río
BOUZAS;Alta;1595;Río
CALDAS DE REIS;Alta;1564;Río
CAMBRE;Baja;1471;Río
CAMPO LAMEIRO;Baja;1574;Río
CAPELA;Baja;1456;Río
CARBALLO;Alta;1483;Río
CARIDE;Alta;1593;Río
CAROLLO;Alta;1520;Río
CHAVÍN;Alta;1438;Río
ESCABANAS;Alta;1510;Río
MASMA;Alta;1431;Río
MUÑIFERAL;Alta;1464;Río
NEGREIRA;Alta;1528;Río
O COUSO;Alta;1578;Río
O GUIONCHO;Alta;1435;Río
O MORGALLÓN;Alta;1441;Río
O PORTO DO CABO;Alta;1445;Río
O SOBRAL;Alta;1588;Río
PONTECALDELAS;Alta;1585;Río
PONTE CIRELA;Alta;1546;Río
PONTEVEA;Alta;1554;Río
PORTOMOURO;Baja;1519;Río
PORTOMOURO;Baja;1920;Río
PTE. SEGADE (MAÑÓN);Alta;1440;Río
PUENTE BARAZÓN;Alta;1542;Río
PUENTE CIRA;Alta;1552;Río
RIBEIRANOVA;Alta;1455;Río
RIBERAS DEL SOR;Baja;1940;Río
SAN ACISCLO;Alta;1433;Río
SAN SADURNIÑO;Alta;1446;Río
SANTA CRISTINA;Alta;1458;Río
SANTA MARÍA DE MERA;Alta;1443;Río
SOTOMAYOR;Baja;1586;Río
VIDALOISO (BASTABALES);Alta;1540;Río
VILACIDE DE ARRIBA;Alta;1522;Río
