Estación;Estado;Código ROEA;Situación
-;Baja;5913;Río
Agrio;Alta;5058;Embalse
Aguascebas;Alta;5045;Embalse
Alcala del Río;Baja;5072;Río
Alcalá del Río;Alta;5035;Embalse
Almodóvar del Río;Baja;5113;Río
Aracena;Alta;5016;Embalse
Arenoso;Alta;5139;Embalse
Ariza;Baja;5028;Río
Arroyo María;Alta;5001;Río
Aznalcázar Puente;Alta;5076;Río
Bacia Camara - Mayena;Baja;5907;Río
Ballesteros;Alta;5014;Río
Batanes;Baja;5064;Río
Bembézar;Alta;5002;Evaporimetrica
Bembézar;Alta;5012;Embalse
Benalúa de las Villas;Alta;5043;Río
Cacín;Baja;5044;Río
Cala;Alta;5014;Embalse
Cala;Baja;5078;Río
Cambil;Alta;5137;Río
Canales;Alta;5048;Embalse
Cantillana;Baja;5008;Río
Cantillana;Alta;5034;Embalse
Cañada Mayor;Alta;5158;Río
Carmona - Lora;Alta;5125;Río
Carr. Torreblascopedro;Alta;5101;Río
Casariche;Alta;5144;Río
Casas Nuevas;Baja;5066;Río
Castro del Río;Alta;5081;Río
Central de Cala;Alta;5077;Río
Central Diechar;Alta;5039;Río
Cerrada del Utrero;Alta;5134;Río
Colomera;Alta;5050;Embalse
Córdoba;Baja;5070;Río
Cordobilla;Alta;5025;Embalse
Cubillas;Alta;5020;Embalse
Dañador;Alta;5044;Embalse
Dehesas de Guadix;Alta;5133;Río
Dílar;Alta;5086;Río
Doctor Jurena;Baja;5054;Río
Doña Aldonza;Alta;5002;Embalse
Écija;Alta;5048;Río
El Cabril;Baja;5018;Evaporimetrica
El Cabril;Alta;5149;Río
El Carpio;Alta;5033;Embalse
El Carpio;Baja;5069;Río
El Doctor;Alta;5012;Río
Electra Fuensanta;Baja;5900;Río
El Gergal;Baja;5053;Río
El Guijo;Alta;5090;Río
El Molino;Baja;5911;Río
El Partido;Alta;5151;Río
El Pedroso;Alta;5145;Río
El Pintado;Alta;5011;Embalse
El Portillo;Alta;5071;Embalse
El Puente;Baja;5918;Río
El Rocío;Alta;5150;Río
Embalse de Jándula;Baja;5073;Río
Encinarejo;Baja;5008;Embalse
Escuderos;Baja;5059;Río
Frailes;Alta;5152;Río
Francisco Abellán - P. de los Gitanos;Alta;5068;Embalse
Fresneda;Alta;5123;Embalse
Galapagar;Alta;5126;Río
Gerena;Alta;5056;Río
Gergal;Alta;5042;Embalse
Giribaile;Alta;5070;Embalse
Granada;Baja;5100;Río
Guadaira Encauzamiento;Alta;5057;Río
Guadalén;Alta;5004;Embalse
Guadalmellato;Alta;5062;Embalse
Guadalmellato;Baja;5111;Río
Guadalmellato;Baja;5949;Río
Guadalmena;Alta;5018;Embalse
Guadanuño - Cerro Muriano;Alta;5046;Embalse
Guadix;Alta;5961;Río
Güéjar - Sierra;Alta;5050;Río
Haza de la Virgen;Baja;5999;Río
Hornachuelos;Alta;5015;Embalse
Hornachuelos;Baja;5951;Río
Horno del Vidrio;Alta;5024;Río
Huesna;Alta;5010;Evaporimetrica
Huesna;Alta;5056;Embalse
Huesna;Alta;5127;Río
Iznájar;Alta;5001;Evaporimetrica
Iznájar;Alta;5026;Embalse
Iznájar;Baja;5046;Río
Jándula;Alta;5007;Embalse
Jerez del Marquesado;Alta;5051;Río
Jerez del Marquesado;Baja;5928;Río
Jerez del Marquesado;Baja;5933;Río
José Torán;Alta;5055;Embalse
La Bolera;Alta;5029;Embalse
La Breña;Baja;5950;Río
La Breña II;Alta;5010;Embalse
La Cigüeña;Alta;5156;Río
La Fernandina;Alta;5052;Embalse
La Fresneda ( Azud );Alta;5059;Embalse
La Herradura;Baja;5031;Río
La Isabela;Baja;5068;Río
La Minilla;Alta;5013;Embalse
Lanteira;Alta;5052;Río
La Original;Baja;5017;Río
La Parrilla;Alta;5160;Río
La Reina;Baja;5906;Río
La Vega;Baja;5067;Río
Llano de Vela;Alta;5025;Río
Loja;Alta;5045;Río
Lora del Río;Baja;5124;Río
Los Bermejales;Alta;5021;Embalse
Los Melonares;Alta;5125;Embalse
Los Melonares;Baja;5130;Río
Madrefuentes;Alta;5123;Río
Maitena;Baja;5920;Río
Maitena;Baja;5924;Río
Malpasillo - Jauja;Alta;5019;Embalse
Manzano;Baja;5018;Río
Marmolejo;Baja;5032;Embalse
Marmolejo;Baja;5065;Río
Marmolejo;Alta;5107;Río
Martín Gonzalo;Alta;5047;Embalse
Mengíbar;Alta;5004;Río
Mengíbar;Baja;5062;Río
Mengíbar Guadalbullón;Alta;5029;Río
Mengíbar - Guadiel;Alta;5104;Río
Mogón;Alta;5135;Río
Molino de Chicorro;Alta;5091;Río
Molino del Tuerto;Alta;5041;Río
Montoro;Baja;5141;Río
Montoro III;Alta;5006;Embalse
Navallana;Alta;5015;Evaporimetrica
Negratín;Alta;5019;Río
Negratín;Alta;5043;Embalse
Olvera;Baja;5058;Río
Palma del Río;Baja;5007;Río
Pantano Colomera ( A. Arriba );Alta;5049;Río
Parroso;Alta;5128;Río
Partido Nuevo;Alta;5161;Río
Pasada del Salistral;Baja;5915;Río
Pedro Marín;Alta;5003;Embalse
Pedro Marín ( Calancha );Baja;5003;Río
Peñaflor;Baja;5006;Río
Pinohermoso;Baja;5917;Río
Pinos - Genil;Alta;5020;Río
Pinos - Puente;Alta;5042;Río
Porcuna;Alta;5142;Río
Portachuelo;Alta;5157;Río
Posadas;Baja;5071;Río
Posito;Baja;5023;Río
Presa de el Judío;Baja;5121;Río
Puebla de Cazalla;Alta;5012;Evaporimetrica
Puebla de Cazalla;Alta;5061;Embalse
Puebla de Cazalla;Alta;5146;Río
Puente Blanqueo;Baja;5038;Río
Puente Cerrada;Baja;5002;Río
Puente Cubillas;Baja;5040;Río
Puente de Gor;Baja;5960;Río
Puente de los Piedros;Alta;5097;Río
Puente - Genil;Baja;5047;Río
Puente Jontoya;Alta;5084;Río
Puente Nuevo;Alta;5017;Evaporimetrica
Puente Nuevo;Alta;5036;Embalse
Puente Nuevo;Alta;5083;Río
Puente Sifón;Alta;5132;Río
Puente Tocón;Alta;5080;Río
Puertollano;Alta;5138;Río
Quéntar;Alta;5021;Río
Quéntar;Alta;5038;Embalse
Quiebrajano;Alta;5039;Embalse
Quiebrajano;Alta;5153;Río
Racioneros;Baja;5061;Río
Renegado;Baja;6001;Evaporimetrica
Retortillo;Alta;5017;Embalse
Retortillo ( Derivación );Alta;5041;Embalse
Riofrío;Baja;5088;Río
Ruinas de Puente;Alta;5027;Río
Rumblar;Alta;5005;Embalse
San Clemente;Alta;5060;Embalse
San Rafael de Navallana;Alta;5051;Embalse
Santaella (Cabra);Alta;5155;Río
Santo Tomé;Alta;5136;Río
Santo Tomé - Guadalquivir;Alta;5159;Río
Sevilla;Baja;5074;Río
Sierra Boyera;Alta;5016;Evaporimetrica
Sierra Boyera;Alta;5037;Embalse
Torre del Águila;Alta;5022;Embalse
Tózar;Alta;5095;Río
Tranco de Beas;Alta;5001;Embalse
Vado de las Ollas;Baja;5060;Río
Vadomojón;Alta;5066;Embalse
Valchillón;Alta;5016;Río
Valchillón;Baja;5916;Río
Valtodano;Baja;5063;Río
Venta Pantalones;Alta;5082;Río
Víboras;Alta;5108;Embalse
Villafranca;Alta;5040;Embalse
Villanueva de las Torres;Alta;5140;Río
Villaverde;Baja;5952;Río
vVadillo;Alta;5163;Río
Yeguas;Alta;5013;Evaporimetrica
Yeguas;Alta;5049;Embalse
Zufre;Alta;5054;Embalse
Zufre;Alta;5147;Río
