Estación;Estado;Código ROEA;Situación
ABENÓJAR;Alta;4108;Río
ALANGE;Alta;4011;Embalse
ALANGE (BONHABAL);Alta;4230;Río
ALANGE (Matachel);Alta;4163;Río
ALANGE (VALDEMEDEL);Alta;4229;Río
ALCÁZAR;Alta;4205;Río
ALCOLLARÍN;Alta;4278;Río
ALÍA;Alta;4212;Río
ALÍA;Alta;4218;Río
ALIMENTACIÓN;Baja;4407;Conduccion
ALJUCÉN;Alta;4233;Río
ALJUCÉN;Baja;4917;Río
ANCHURICAS;Alta;4263;Río
ANDÉVALO;Alta;4083;Embalse
AROCHE;Baja;4158;Río
AROCHE;Baja;4160;Río
ATAJADERO;Baja;4906;Río
AZUD DE BADAJOZ;Alta;4030;Río
AZUD DE DERIVACIÓN A EMBALSE DE GASSET;Baja;4208;Río
BADAJOZ;Alta;4246;Río
BADAJOZ;Alta;4255;Río
BADAJOZ (GUADIANA);Alta;4249;Río
BADÉN DE TORREMAYOR;Baja;4029;Río
BALBUENA O VALBUENA;Baja;4008;Río
BAÑUELO BECEA;Baja;4406;Conduccion
BENAVIDES;Baja;4019;Río
BLANDONES;Baja;4921;Río
BUENAVISTA;Alta;4203;Río
CALAMÓN;Alta;4247;Río
CAMPANARIO;Alta;4274;Río
CAMPOS DE ALANJE;Baja;4922;Río
CANCHALES;Alta;4235;Río
CANCHO DEL FRESNO;Alta;4038;Embalse
CAÑAMERO;Alta;4251;Río
CARRIZOSA;Baja;4109;Río
CERROS VERDES;Alta;4284;Río
CHANZA;Alta;4012;Embalse
CHANZA;Baja;4159;Río
CHARCO DE LOS POLLOS;Alta;4286;Río
CIJARA;Alta;4002;Embalse
CIJARA;Baja;4010;Río
COLADA;Alta;4267;Río
CONSUEGRA;Alta;4133;Río
CONSUEGRA;Baja;4961;Río
CÓRCOLES EN CABECERA;Alta;4130;Río
CÓRCOLES EN SOCUÉLLAMOS;Alta;4131;Río
CORDOBILLA;Alta;4232;Río
CORNALBO;Alta;4013;Embalse
CORNALVO ( ALBARREGAS );Baja;4254;Río
CORRAL;Alta;4126;Río
CUBILAR;Alta;4047;Embalse
DAIMIEL;Alta;4102;Río
DE RIEGO;Alta;4404;Conduccion
