Estación;Estado;Código ROEA;Situación
ACEQUIA ALCORA ( SALIDA E.);Alta;8412;Conduccion
ACEQUIA BENAGUACIL;Alta;8428;Conduccion
ACEQUIA CASTELLÓN/ CASTELLÓ - ALMAZORA;Alta;8417;Conduccion
ACEQUIA DE BURRIANA;Alta;8418;Conduccion
ACEQUIA DE LA TEJA;Baja;8402;Conduccion
ACEQUIA DE LORCA;Alta;8429;Conduccion
ACEQUIA DEL VADO DE LA HERRERA;Alta;8410;Conduccion
ACEQUIA DE MESTALLA;Alta;8406;Conduccion
ACEQUIA DE MISLATA;Alta;8407;Conduccion
ACEQUIA DE MONCADA;Alta;8409;Conduccion
ACEQUIA DE QUART;Alta;8408;Conduccion
ACEQUIA DE TORMOS;Alta;8405;Conduccion
ACEQUIA DE VILLAMARCHANTE;Alta;8427;Conduccion
ACEQUIA MADRE DE ULLDECONA;Alta;8424;Conduccion
ACEQUIA REAL DEL JÚCAR;Alta;8401;Conduccion
ACEQUIA VILLARREAL;Alta;8416;Conduccion
ADEMUZ;Baja;8016;Río
ALARCÓN;Alta;8001;Embalse
ALARCÓN_EMBALSE;Baja;8034;Río
ALARCÓN SALIDA EMBALSE;Alta;8107;Río
ALBALAT DE LA RIBERA;Baja;8048;Río
ALBORCHI;Baja;8064;Río
ALCALÁ DEL JÚCAR;Alta;8144;Río
ALCIRA;Baja;8045;Río
ALCOCER DE PLANES;Baja;8115;Río
ALCORA;Alta;8002;Embalse
ALCUDIA DE CRESPINS;Baja;8062;Río
ALGAR;Alta;8033;Embalse
ALGAR;Baja;8077;Río
ALGAR;Baja;8912;Río
ALMANSA;Alta;8003;Embalse
AMADORIO;Alta;8004;Embalse
ARENÓS;Alta;8005;Embalse
ARENÓS ENTRADA_E_ C E LOS CANTOS;Alta;8134;Río
ARENÓS SALIDA EMBALSE;Alta;8145;Río
ARQUILLO DE SAN BLAS;Alta;8006;Embalse
ARQUILLO SAN BLAS SALIDA E;Alta;8096;Río
ASPE;Baja;8083;Río
AZUD DE LA MARQUESA;Alta;8153;Río
AZUD DE LA MARQUESA (CANAL);Alta;8154;Río
BABOR;Baja;8003;Río
BALAGUERAS;Alta;8034;Embalse
BALAZOTE;Alta;8138;Río
BELLÚS;Alta;8032;Embalse
BELLÚS;Baja;8058;Río
BELMONTEJO;Alta;8087;Río
BENAGÉBER;Alta;8014;Embalse
BENEJAMA;Baja;8080;Río
BENIARRÉS;Alta;8007;Embalse
BENITANDÚS;Baja;8017;Río
BUGARRA;Alta;8022;Río
BUSEO;Alta;8008;Embalse
BUSEO_EMBALSE;Baja;8031;Río
CALLES;Alta;8120;Río
CALLOSA;Baja;8076;Río
CALLOSA DE ENSARRIA;Alta;8151;Río
CAMPORROBLES;Alta;8092;Río
CANAL BENAGÉBER EN MARINES;Alta;8426;Conduccion
CANAL BENAGÉBER - LORIGUILLA;Alta;8425;Conduccion
CARBONELL;Baja;8046;Río
CARCER;Baja;8043;Río
CASTELLAR;Alta;8091;Río
CIRAT ( MONTANEJOS );Baja;8403;Conduccion
COFRENTES;Baja;8038;Río
COFRENTES;Alta;8112;Río
CONFLUENCIA;Baja;8039;Río
CONTRERAS;Alta;8009;Embalse
CONTRERAS SALIDA EMBALSE;Alta;8130;Río
CORTES 2;Alta;8027;Embalse
CUENCA;Alta;8032;Río
CULLERA;Baja;8049;Río
DOMEÑO;Baja;8020;Río
ELCHE;Baja;8933;Embalse
EL COLMENAR;Baja;8136;Río
ELDA;Baja;8934;Embalse
EL MOLINAR;Alta;8026;Embalse
EL NARANJERO;Alta;8029;Embalse
EL PICAZO;Alta;8129;Río
EL PUENTE DE CARRASCO;Baja;8132;Río
EL TERDE;Alta;8030;Río
EMBARCADEROS;Baja;8012;Embalse
ENGUIDANOS;Baja;8021;Río
ESCALONA;Alta;8031;Embalse
ESCALONA;Baja;8055;Río
FORATA;Alta;8013;Embalse
FUENTE DE BABOR;Baja;8423;Conduccion
FUENTE MAS ROYO;Baja;8422;Conduccion
GABARDA;Baja;8044;Río
GEA DE ALBARRACÍN;Alta;8149;Río
GENERALÍSIMO_EMBALSE;Baja;8105;Río
GUADALEST;Alta;8015;Embalse
GUADAZAÓN;Baja;8086;Río
HORCAJO;Baja;8012;Río
HUÉRCEMES;Alta;8140;Río
HUERTO DE GOIG;Baja;8047;Río
HUERTO MULET;Alta;8089;Río
JALANCE;Baja;8037;Río
JÁTIVA;Baja;8067;Río
JÉRICA;Alta;8148;Río
LA CENIA;Baja;8419;Conduccion
LA FUENTE DEL BAÑO;Alta;8074;Río
LA MUELA ( BOMBEO );Alta;8028;Embalse
LA PARDALA;Baja;8106;Río
LA PRESA;Alta;8025;Río
LA TERRERA;Baja;8052;Río
LA TOBA;Alta;8023;Embalse
LORIGUILLA;Alta;8016;Embalse
LORIGUILLA SALIDA EMBALSE;Alta;8147;Río
LOS FRAILES;Alta;8036;Río
LOS MASES;Baja;8135;Río
LOS NUEVECILLOS;Baja;8035;Río
LOS SANTOS;Alta;8104;Río
MACASTRE;Alta;8093;Río
MAHORA;Baja;8085;Río
MARÍA CRISTINA;Alta;8017;Embalse
MAYOR DE CULLERA;Baja;8404;Conduccion
M_DEL RETOR;Baja;8009;Río
M_DEL VIDRIO;Baja;8010;Río
MOLINO CHIRLETS;Baja;8001;Río
MOLINS DE REY;Baja;8411;Conduccion
MONTABERNER;Baja;8019;Río
MONTABERNER;Alta;8029;Río
MONTABERNER;Baja;8057;Río
MONTANEJOS;Baja;8004;Río
MONTEMAYOR;Alta;8097;Río
MORA DE RUBIELOS;Alta;8036;Embalse
MUCHAMIEL;Baja;8079;Río
MURO;Baja;8070;Río
OLIVARES;Baja;8033;Río
OLOCAU;Baja;8013;Río
ONDA;Alta;8018;Embalse
ONDA ( SALIDA E. );Alta;8415;Conduccion
ORCHETA;Baja;8024;Río
ORCHETA;Baja;8078;Río
PAJARONCILLO;Alta;8090;Río
REGAJO;Alta;8019;Embalse
RELLEU;Baja;8932;Embalse
REQUENA;Alta;8060;Río
ROBELLA;Baja;8026;Río
ROSELL;Baja;8420;Conduccion
SAN RAFAEL;Baja;8421;Conduccion
SANTA EULALIA;Baja;8081;Río
SELLA;Baja;8978;Río
SERVOL;Baja;8002;Río
SICHAR;Alta;8021;Embalse
SICHAR SALIDA EMBALSE;Alta;8119;Río
SOT FERRER;Baja;8011;Río
TERESA DE COFRENTES;Baja;8051;Río
TERUEL;Alta;8015;Río
TERUEL;Alta;8027;Río
TIBI;Baja;8931;Embalse
TIBI_EMBALSE;Baja;8128;Río
TIRIEZ;Alta;8137;Río
TOGA;Baja;8095;Río
TORREALTA;Alta;8103;Río
TOUS;Alta;8030;Embalse
TOUS SALIDA EMBALSE;Alta;8042;Río
TRAMACASTILLA;Alta;8014;Río
ULLDECONA;Alta;8025;Embalse
ULLDECONA SALIDA EMBALSE;Alta;8099;Río
VALBONA;Alta;8035;Embalse
VALVERDE;Baja;8088;Río
VALVERDE DE JÚCAR;Baja;8111;Río
VALVERDE DE JÚCAR;Baja;8118;Río
VENTA DE JUAN ROMERO;Alta;8126;Río
VILLAHERMOSA;Baja;8007;Río
VILLALBA ALTA;Alta;8028;Río
