Estación;Estado;Código ROEA;Situación
ALBARELLOS;Alta;1637;Embalse
ALMAGARIÑOS;Alta;1836;Río
ARENTEIRO;Baja;1637;Río
ARNOYA;Alta;1659;Río
BAO;Alta;1743;Embalse
BAO (LAS ERMITAS);Baja;1747;Río
BÁRCENA;Alta;1709;Embalse
BÁRCENA DE LA ABADÍA;Baja;1722;Río
BARCO DE VALDEORRAS;Alta;1739;Río
BEGONTE;Alta;1619;Río
BEGUNTILLO;Alta;1603;Río
BELESAR;Alta;1627;Embalse
BEMBIBRE;Alta;1716;Río
BOEZA;Alta;1715;Río
BOEZA;Baja;1718;Río
BOUZA DE VISO;Alta;1823;Río
BUBACES;Alta;1809;Río
CACABELOS;Alta;1721;Río
CACABELOS;Baja;1904;Río
CAMPAÑANA;Alta;1711;Embalse
CAMPONARAYA;Alta;1720;Río
CARBALLINO;Alta;1638;Río
CASTRELO;Alta;1634;Embalse
CELA (MARGEN DERECHA);Alta;1607;Río
CELA (MARGEN IZQUIERDA);Alta;1608;Río
CENZA;Alta;1782;Embalse
CHANDREJA;Alta;1790;Embalse
EDRADA - CONSO;Alta;1781;Embalse
EDRADA - MAO;Alta;1780;Embalse
EL PÁRAMO;Alta;1624;Río
FABERO;Alta;1723;Río
FRAGA;Alta;1833;Río
FRIEIRA;Alta;1641;Embalse
FRIEIRA;Baja;1907;Río
FUENTE DEL AZUFRE;Alta;1710;Embalse
GINZO DE LIMIA;Alta;1831;Río
GONDAY;Alta;1620;Río
GUISTOLAS;Alta;1748;Embalse
GUITIRIZ;Alta;1617;Río
GUNTÍN;Alta;1824;Río
INCIO (PUENTE DE PENA);Alta;1763;Río
ÍNSUA;Alta;1834;Río
LA PONTE;Baja;1754;Río
LAS CONCHAS;Alta;1808;Embalse
LAS PEDRAZAS (GUÍSTOLAS);Baja;1748;Río
LAS PORTAS;Alta;1770;Embalse
LAS ROZAS - MATALAVILLA (SIST.);Alta;1704;Embalse
LAS SALAS;Alta;1807;Embalse
LEBOREIRO - MAO;Alta;1795;Embalse
LEIRO;Alta;1639;Río
LOS PEARES;Alta;1629;Embalse
LOS PEARES;Baja;1629;Río
LOVIOS (BUSCALQUE);Baja;1909;Río
LUGO;Baja;1621;Río
LUGO;Alta;1622;Río
MATARROSA;Baja;1705;Río
MATARROSA DEL SIL;Alta;1837;Río
MOLINASECA;Baja;1903;Río
MONDARIZ;Alta;1644;Río
MONTEARENAS;Alta;1718;Embalse
MONTEFURADO;Alta;1744;Embalse
MONTEFURADO;Baja;1749;Río
MONTEFURADO - SAN MARTÍN;Baja;1402;Conduccion
NEIRA DE REY;Alta;1832;Río
OENCIA;Alta;1729;Río
ORENSE;Alta;1631;Río
ORENSE;Baja;1931;Río
PACIOS DE VEIGA;Baja;1019;Río
PALACIOS;Baja;1911;Río
PARADA;Alta;1753;Río
PEÑARRUBIA;Alta;1712;Embalse
P. FILGUEIRA;Baja;1641;Río
PÍAS O SAN AGUSTÍN;Alta;1745;Embalse
POMBRIEGO;Baja;1908;Río
PONFERRADA;Alta;1719;Río
PONTEVILAR;Alta;1605;Río
PORRIÑO;Alta;1646;Río
PORTO;Alta;1742;Río
PRADA;Alta;1791;Embalse
PUEBLA DE SAN JULIÁN;Alta;1628;Río
PUENTEAREAS;Alta;1645;Río
PUENTEAREAS (NIVEL);Alta;1806;Río
PUENTE BELESAR;Baja;1928;Río
PUENTE DE DOMINGO FLÓREZ;Alta;1734;Río
PUENTE FREIJO;Alta;1829;Río
PUENTE LINARES;Alta;1805;Río
PUENTE QUEROL;Baja;1010;Río
PUENTE QUIROGA;Baja;1018;Río
PUMARES;Alta;1716;Embalse
QUERENO;Baja;1906;Río
QUILÓS;Alta;1724;Río
RÁBADE;Baja;1609;Río
REDEMUIÑOS;Alta;1822;Río
REGUEIRO;Alta;1821;Río
REQUEJO;Alta;1728;Río
RIBADAVIA;Alta;1640;Río
RIBAS ALTAS;Alta;1765;Río
RUAPETÍN;Baja;1011;Río
SALVATIERRA DE MIÑO;Alta;1642;Río
SAN ESTEBAN;Alta;1768;Embalse
SAN ESTEBAN;Baja;1768;Río
SAN MARTÍN;Alta;1740;Embalse
SAN MARTÍN - MONTEFURADO;Baja;1401;Conduccion
SAN PEDRO;Alta;1769;Embalse
SAN PEDRO;Baja;1769;Río
SAN SEBASTIÁN;Alta;1741;Embalse
SANTA EULALIA;Alta;1792;Embalse
SANTA EULALIA;Baja;1942;Río
SANTIAGO;Alta;1713;Embalse
SARRIA;Alta;1625;Río
SARRIA;Baja;1626;Río
SEQUEIROS;Alta;1751;Embalse
SEQUEIROS;Baja;1751;Río
TORAL DE LOS VADOS;Baja;1727;Río
TUY;Baja;1647;Río
VEGUELLINA;Alta;1725;Río
VELLE;Alta;1631;Embalse
VILASOUTO;Alta;1796;Embalse
VILLABLINO;Baja;1910;Río
VILLAFRANCA DEL BIERZO;Baja;1012;Río
VILLAFRANCA DEL BIERZO;Alta;1726;Río
VILL / MAO / REGUEIRO;Baja;1794;Embalse
