Estación;Estado;Código ROEA;Situación
ABARÁN;Baja;7017;Río
ACEQUIA CENAJO;Alta;7613;Conduccion
ACEQUIA DE BERBERÍN;Alta;7512;Conduccion
ACEQUIA DE BLANCA ( COLA );Alta;7617;Conduccion
ACEQUIA DE CHARRARA ( COLA );Alta;7517;Conduccion
ACEQUIA DE DON GONZALO;Alta;7406;Conduccion
ACEQUIA DE OJÓS - VILLANUEVA;Alta;7562;Conduccion
ACEQUIA DE PUERTO-BAYO;Alta;7537;Conduccion
ACEQUIA DE ULEA;Alta;7462;Conduccion
ACEQUIA DON BARTOLOMÉ;Alta;7424;Conduccion
ACEQUIA ROTAS;Alta;7612;Conduccion
ALCAIDE;Baja;7038;Río
ALFEITAMI NUEVA;Alta;7158;Río
ALFEYTAMI ( AZUD );Alta;7858;Río
Alfonso XIII;Alta;7008;Evaporimetrica
ALFONSO XIII;Alta;7005;Embalse
ALFONSO XIII ( DESEMBALSE );Alta;7007;Río
ALGECIRAS;Alta;7018;Embalse
ALHAMA;Baja;7048;Río
ALMADENES;Alta;7006;Río
ALQUERÍAS;Alta;7164;Río
ANCHURICAS;Alta;7001;Embalse
APORT. A ALGECIRAS DESDE CPMD;Alta;7444;Conduccion
APORT. A CREVILLENTE DESDE IMPULSIÓN;Alta;7542;Conduccion
APORT. A LA PEDRERA POR CANAL ( TOTAL );Alta;7540;Conduccion
ARCHENA;Alta;7018;Río
Argos;Alta;7015;Evaporimetrica
ARGOS;Alta;7011;Embalse
ARGOS ( CALASPARRA );Baja;7014;Río
AZARAQUE;Alta;7004;Río
AZARBE DE HURCHILLO (COLA);Alta;7065;Conduccion
AZARBE DE HURCHILLO (LIM. PROVINCIAL);Alta;7459;Conduccion
AZARBE DE MERANCHO;Alta;7460;Conduccion
AZARBE PUERTAS DE MURCIA;Baja;7461;Conduccion
AZUD DE LIÉTOR;Alta;7850;Río
AZUD DE LOS HUERTOS;Alta;7628;Río
BAÑOS DE MULA;Baja;7020;Río
BENIEL;Alta;7064;Río
BLANCA;Alta;7117;Río
BY - PASS;Alta;7438;Conduccion
CALASPARRA;Baja;7012;Río
CALASPARRA ( NUEVA );Alta;7112;Río
Camarillas;Alta;7013;Evaporimetrica
CAMARILLAS;Alta;7009;Embalse
CAMARILLAS (CAÑÓN TOTAL);Baja;7024;Río
CAMARILLAS ( COTO MINERO );Baja;7724;Conduccion
CAMARILLAS ( DESEMBALSE );Alta;7124;Río
CANAL DE HELLÍN;Alta;7466;Conduccion
CANAL DEL TAIBILLA ( TOMA );Alta;7402;Conduccion
CANAL DESAGÜE CREVILLENTE;Alta;7439;Conduccion
CAÑAVEROSA;Baja;7037;Río
C. CAMPO CARTAGENA (AFORADOR EN TOMA);Alta;7437;Conduccion
CEHEGÍN;Baja;7047;Río
Cenajo;Alta;7012;Evaporimetrica
CENAJO;Alta;7003;Embalse
CENAJO ( DESEMBALSE );Alta;7013;Río
Central Hidroeléctrica de Miller;Alta;7011;Evaporimetrica
CIEZA;Alta;7016;Río
CONEXIÓN ARGOS - QUÍPAR;Baja;7446;Conduccion
CONTRAPARADA;Alta;7063;Río
CONTRAPARADA ( PRESA );Alta;7863;Río
C. PRINCIPAL M. D. (ELEVACIÓN AL MAYÉS);Alta;7435;Conduccion
C. PRINCIPAL M. I. (AFORADOR EN TOMA);Alta;7436;Conduccion
Crevillente;Alta;7020;Evaporimetrica
CREVILLENTE;Alta;7016;Embalse
C. RIEGOS LEVANTE M.I. (AZUD DE TOMA);Alta;7430;Conduccion
DERIVACIÓN AL CANAL DE ALMERÍA;Alta;7543;Conduccion
DESAGÜE DE LA PEDRERA;Alta;7070;Río
EFLUENTE TOTAL EDAR MURCIA ESTE;Alta;7801;Conduccion
ELEVACIÓN DE ABASTECIMIENTO A HELLÍN;Alta;7403;Conduccion
ELEVACIÓN DE BLANCA ( ZONA 2ª ATS );Alta;7421;Conduccion
ELEVACIÓN DE CALASPARRA ( ZONA 1ª ATS );Alta;7420;Conduccion
EL GALLEGO;Alta;7057;Río
El Mayés;Alta;7017;Evaporimetrica
EL MENJÚ;Alta;7167;Río
ESTRECHO DE ARGAMASA;Baja;7035;Río
