Estación;Estado;Código ROEA;Situación
ACEBO;Alta;3283;Río
ACEÑA;Alta;3227;Embalse
ACEQUIA DEL TAJO;Baja;3214;Conduccion
AGUAS TURBIAS;Baja;3433;Conduccion
ALCÁNTARA;Alta;3019;Embalse
ALCÁNTARA;Baja;3019;Río
ALCÁNTARA;Baja;3028;Río
ALCÁNTARA;Baja;3253;Río
ALCÁNTARA;Baja;3919;Río
ALCANTUD;Alta;3041;Río
ALCAUDETE DE LA JARA;Alta;3213;Río
ALCOBENDAS;Baja;3274;Río
ALCOCER;Baja;3025;Río
ALCORLO;Baja;3066;Río
ALCORLO;Alta;3287;Embalse
ALDEA DEL FRESNO;Baja;3022;Río
ALDEA DEL FRESNO;Alta;3188;Río
ALDEANUEVA DE BARBARROYA;Alta;3256;Río
ALGETE;Alta;3051;Río
ALMOGUERA;Alta;3009;Embalse
ALMOGUERA;Baja;3009;Río
ALMOGUERA;Alta;3149;Río
ALTO;Baja;3437;Conduccion
A.M.S.O.;Alta;3441;Conduccion
AÑOVER;Baja;3010;Río
ARAGOSA;Alta;3254;Río
ARANJUEZ;Baja;3011;Río
ARANJUEZ ( P. LARGO );Alta;3175;Río
ARENAS DE SAN PEDRO;Alta;3161;Río
ARGÉS;Baja;3210;Río
AYUELA;Alta;3246;Río
AZUCAICA;Baja;3912;Río
AZUTÁN;Alta;3203;Embalse
AZUTÁN;Baja;3203;Río
BAJO;Baja;3438;Conduccion
BAJO;Alta;3469;Conduccion
BAÑOS;Alta;3300;Embalse
BARAJAS;Baja;3275;Río
BARGAS;Alta;3102;Río
BARRAGO;Baja;3117;Río
BATRES;Alta;3103;Río
BAYONA;Baja;3083;Río
BÉJAR;Alta;3240;Río
BELEÑA;Alta;3067;Río
BELEÑA;Alta;3068;Embalse
BOHONAL DE IBOR;Alta;3221;Río
BOLARQUE;Alta;3007;Embalse
BOLARQUE;Baja;3007;Río
BOMBEO SAN JUAN;Alta;3461;Conduccion
BORBOLLÓN;Alta;3148;Embalse
BORBOLLÓN;Baja;3148;Río
BUENDÍA;Alta;3043;Embalse
BUENDÍA;Baja;3043;Río
BUJALARO;Alta;3060;Río
BURGUILLO;Baja;3111;Río
BUTARQUE;Baja;3227;Río
CAMARENILLA;Alta;3266;Río
CAMPILLO DE DELEITOSA;Alta;3244;Río
CANAL ÁRRAGO;Alta;3420;Conduccion
CANAL BAJO DEL ALBERCHE;Alta;3417;Conduccion
CANAL DE CASTREJÓN;Alta;3413;Conduccion
CANAL DE LA ACEÑA;Alta;3468;Conduccion
CANAL DE LA JAROSA;Alta;3470;Conduccion
CANAL DE LA PINILLA;Alta;3472;Conduccion
CANAL DE LAS AVES;Baja;3206;Conduccion
CANAL DE LAS NIEVES;Alta;3466;Conduccion
CANAL DEL ATAZAR;Alta;3435;Conduccion
CANAL DEL HENARES;Baja;3209;Conduccion
CANAL DEL JARAMA;Alta;3432;Conduccion
CANAL DEL SORBE;Alta;3425;Conduccion
CANAL DEL VILLAR;Alta;3434;Conduccion
CANAL DE NAVACERRADA;Alta;3471;Conduccion
CANAL DE VALMAYOR;Alta;3460;Conduccion
CANAL ROSARITO;Alta;3418;Conduccion
CANAL SANTILLANA;Alta;3440;Conduccion
CANAL VALDEOBISPO;Alta;3419;Conduccion
CANDELARIO;Baja;3145;Río
CANDELEDA;Alta;3226;Río
CANTOS BLANCOS;Alta;3197;Río
CAÑAVERAL;Alta;3284;Río
CASAR DE PALOMERO;Alta;3242;Río
CASAS EULOGIOS;Baja;3072;Río
CASTREJÓN;Alta;3151;Embalse
CASTREJÓN;Baja;3151;Río
CAZALEGAS;Alta;3101;Río
CAZALEGAS;Alta;3115;Embalse
CAZALEGAS = BAJO ALBERCHE;Baja;3115;Río
CAZ CHICO;Baja;3207;Conduccion
CEDILLO;Alta;3285;Embalse
CEDILLO;Baja;3285;Río
C. E. H.;Alta;3178;Río
CERECEDA;Alta;3269;Río
CHARCO DEL CURA ( P. NUEVO );Alta;3114;Embalse
CILLEROS;Alta;3280;Río
CORIA;Baja;3140;Río
EL ATANCE;Alta;3066;Embalse
EL ATAZAR;Alta;3156;Embalse
EL ATAZAR;Baja;3156;Río
EL BATÁN;Alta;3281;Río
EL BURGUILLO;Alta;3111;Embalse
EL CASTRO;Alta;3074;Embalse
EL GUAJARAZ;Baja;3423;Conduccion
EL LADRILLAR;Alta;3236;Río
EL PARDO;Alta;3187;Río
EL PARDO;Alta;3263;Embalse
EL PARDO;Baja;3263;Río
EL PAULAR;Alta;3002;Río
EL TIEMBLO;Baja;3021;Río
EL TORCÓN;Baja;3421;Conduccion
EL TORNO;Alta;3146;Río
EL VADO;Alta;3050;Embalse
EL VADO;Baja;3050;Río
EL VELLÓN;Alta;3157;Embalse
EL VELLÓN;Baja;3157;Río
EL VELLÓN;Alta;3465;Conduccion
EL VILLAR;Alta;3144;Río
EL VILLAR;Alta;3195;Embalse
EL VILLAR;Baja;3195;Río
EMBOCADOR;Alta;3258;Río
ENTREPEÑAS;Alta;3006;Embalse
ENTREPEÑAS;Baja;3006;Río
ESCALONA;Alta;3183;Río
ESPINILLOS;Alta;3062;Río
ESTREMERA;Baja;3216;Conduccion
FINISTERRE;Alta;3073;Embalse
FUENSANTA;Baja;3020;Río
FUENTIDUEÑA;Alta;3248;Río
GABRIEL Y GALÁN;Alta;3142;Embalse
GABRIEL Y GALÁN;Baja;3142;Río
GALISTEO;Baja;3940;Río
GALISTEO;Baja;3941;Río
GALISTEO ( JERTE );Alta;3147;Río
GARCIBUEY;Alta;3182;Río
GARGÜERA;Alta;3224;Río
GETAFE;Baja;3262;Río
GUADALIX;Alta;3439;Conduccion
GUADILOBA;Alta;3264;Embalse
GUADILOBA;Baja;3424;Conduccion
GUADILOBA - CÁCERES;Baja;3264;Río
GUAJARAZ;Alta;3252;Embalse
